ROI	LeftFlank	RightFlank	Type	Size
chr12-68663573-68664063	chr12-68663023-68663573	chr12-68664063-68664613	CandidateEnhancer	490
chr12-68671459-68671944	chr12-68670909-68671459	chr12-68671944-68672494	CandidateEnhancer	485
chr12-68675078-68675807	chr12-68674528-68675078	chr12-68675807-68676357	CandidateEnhancer	729
chr12-68683718-68684502	chr12-68683168-68683718	chr12-68684502-68685052	CandidateEnhancer	784
chr12-68597069-68597906	chr12-68596519-68597069	chr12-68597906-68598456	CandidateEnhancer	837
chr12-68603186-68603954	chr12-68602636-68603186	chr12-68603954-68604504	CandidateEnhancer	768
chr12-68070394-68070886	chr12-68069844-68070394	chr12-68070886-68071436	CCR	492
chr12-68081940-68082623	chr12-68081390-68081940	chr12-68082623-68083173	CCR	683
chr12-68138530-68139681	chr12-68137980-68138530	chr12-68139681-68140231	CCR	1151
chr12-68179933-68180620	chr12-68179383-68179933	chr12-68180620-68181170	CCR	687
chr12-68181880-68182700	chr12-68181330-68181880	chr12-68182700-68183250	CCR	820
chr12-68188254-68189069	chr12-68187704-68188254	chr12-68189069-68189619	CCR	815
chr12-68203716-68204390	chr12-68203166-68203716	chr12-68204390-68204940	CCR	674
chr12-68229371-68230030	chr12-68228821-68229371	chr12-68230030-68230580	CCR	659
chr12-68253218-68254021	chr12-68252668-68253218	chr12-68254021-68254571	CCR	803
chr12-68280907-68281679	chr12-68280357-68280907	chr12-68281679-68282229	CCR	772
chr12-68282647-68283583	chr12-68282097-68282647	chr12-68283583-68284133	CCR	936
chr12-68287443-68288742	chr12-68286893-68287443	chr12-68288742-68289292	CCR	1299
chr12-68297677-68300226	chr12-68297127-68297677	chr12-68300226-68300776	CCR	2549
chr12-68313381-68314383	chr12-68312831-68313381	chr12-68314383-68314933	CCR	1002
chr12-68316140-68316836	chr12-68315590-68316140	chr12-68316836-68317386	CCR	696
chr12-68367136-68367920	chr12-68366586-68367136	chr12-68367920-68368470	CCR	784
chr12-68371539-68372309	chr12-68370989-68371539	chr12-68372309-68372859	CCR	770
chr12-68381222-68381990	chr12-68380672-68381222	chr12-68381990-68382540	CCR	768
chr12-68423825-68425079	chr12-68423275-68423825	chr12-68425079-68425629	CCR	1254
chr12-68427307-68428891	chr12-68426757-68427307	chr12-68428891-68429441	CCR	1584
chr12-68452659-68453598	chr12-68452109-68452659	chr12-68453598-68454148	CCR	939
chr12-68456949-68457434	chr12-68456399-68456949	chr12-68457434-68457984	CCR	485
chr12-68490126-68490668	chr12-68489576-68490126	chr12-68490668-68491218	CCR	542
chr12-68521053-68521543	chr12-68520503-68521053	chr12-68521543-68522093	CCR	490
chr12-68541966-68542510	chr12-68541416-68541966	chr12-68542510-68543060	CCR	544
chr12-68571177-68572365	chr12-68570627-68571177	chr12-68572365-68572915	CCR	1188
chr12-68637592-68638331	chr12-68637042-68637592	chr12-68638331-68638881	CCR	739
chr12-68677917-68679560	chr12-68677367-68677917	chr12-68679560-68680110	CCR	1643
chr12-68686462-68686894	chr12-68685912-68686462	chr12-68686894-68687444	CCR	432
