Chr	ROI_Start	ROI_End	Type	Size	Left_Start	Left_End	Right_Start	Right_End	ROI	LeftFlank	RightFlank
chr12	68583536	68584339	CandidateEnhancer	903	68582986	68583536	68584339	68584889	chr12-68583536-68584339	chr12-68582986-68583536	chr12-68584339-68584889
chr12	68592285	68592717	CandidateEnhancer	532	68591735	68592285	68592717	68593267	chr12-68592285-68592717	chr12-68591735-68592285	chr12-68592717-68593267
chr12	68616642	68617412	CandidateEnhancer	870	68616092	68616642	68617412	68617962	chr12-68616642-68617412	chr12-68616092-68616642	chr12-68617412-68617962
chr12	68630213	68630900	CandidateEnhancer	787	68629663	68630213	68630900	68631450	chr12-68630213-68630900	chr12-68629663-68630213	chr12-68630900-68631450
chr12	68634611	68635270	CandidateEnhancer	759	68634061	68634611	68635270	68635820	chr12-68634611-68635270	chr12-68634061-68634611	chr12-68635270-68635820
chr12	68653070	68653562	CandidateEnhancer	592	68652520	68653070	68653562	68654112	chr12-68653070-68653562	chr12-68652520-68653070	chr12-68653562-68654112
chr12	68660808	68662392	CandidateEnhancer	1684	68660258	68660808	68662392	68662942	chr12-68660808-68662392	chr12-68660258-68660808	chr12-68662392-68662942
chr12	68663573	68664063	CandidateEnhancer	590	68663023	68663573	68664063	68664613	chr12-68663573-68664063	chr12-68663023-68663573	chr12-68664063-68664613
chr12	68671459	68671944	CandidateEnhancer	585	68670909	68671459	68671944	68672494	chr12-68671459-68671944	chr12-68670909-68671459	chr12-68671944-68672494
chr12	68675078	68675807	CandidateEnhancer	829	68674528	68675078	68675807	68676357	chr12-68675078-68675807	chr12-68674528-68675078	chr12-68675807-68676357
chr12	68683718	68684502	CandidateEnhancer	884	68683168	68683718	68684502	68685052	chr12-68683718-68684502	chr12-68683168-68683718	chr12-68684502-68685052
chr12	68597069	68597906	CandidateEnhancer	937	68596519	68597069	68597906	68598456	chr12-68597069-68597906	chr12-68596519-68597069	chr12-68597906-68598456
chr12	68603186	68603954	CandidateEnhancer	868	68602636	68603186	68603954	68604504	chr12-68603186-68603954	chr12-68602636-68603186	chr12-68603954-68604504
chr12	68070394	68070886	CCR	592	68069844	68070394	68070886	68071436	chr12-68070394-68070886	chr12-68069844-68070394	chr12-68070886-68071436
chr12	68081940	68082623	CCR	783	68081390	68081940	68082623	68083173	chr12-68081940-68082623	chr12-68081390-68081940	chr12-68082623-68083173
chr12	68138530	68139681	CCR	1251	68137980	68138530	68139681	68140231	chr12-68138530-68139681	chr12-68137980-68138530	chr12-68139681-68140231
chr12	68179933	68180620	CCR	787	68179383	68179933	68180620	68181170	chr12-68179933-68180620	chr12-68179383-68179933	chr12-68180620-68181170
chr12	68181880	68182700	CCR	920	68181330	68181880	68182700	68183250	chr12-68181880-68182700	chr12-68181330-68181880	chr12-68182700-68183250
chr12	68188254	68189069	CCR	915	68187704	68188254	68189069	68189619	chr12-68188254-68189069	chr12-68187704-68188254	chr12-68189069-68189619
chr12	68203716	68204390	CCR	774	68203166	68203716	68204390	68204940	chr12-68203716-68204390	chr12-68203166-68203716	chr12-68204390-68204940
chr12	68229371	68230030	CCR	759	68228821	68229371	68230030	68230580	chr12-68229371-68230030	chr12-68228821-68229371	chr12-68230030-68230580
chr12	68253218	68254021	CCR	903	68252668	68253218	68254021	68254571	chr12-68253218-68254021	chr12-68252668-68253218	chr12-68254021-68254571
chr12	68280907	68281679	CCR	872	68280357	68280907	68281679	68282229	chr12-68280907-68281679	chr12-68280357-68280907	chr12-68281679-68282229
chr12	68282647	68283583	CCR	1036	68282097	68282647	68283583	68284133	chr12-68282647-68283583	chr12-68282097-68282647	chr12-68283583-68284133
chr12	68287443	68288742	CCR	1399	68286893	68287443	68288742	68289292	chr12-68287443-68288742	chr12-68286893-68287443	chr12-68288742-68289292
chr12	68297677	68300226	CCR	2649	68297127	68297677	68300226	68300776	chr12-68297677-68300226	chr12-68297127-68297677	chr12-68300226-68300776
chr12	68313381	68314383	CCR	1102	68312831	68313381	68314383	68314933	chr12-68313381-68314383	chr12-68312831-68313381	chr12-68314383-68314933
chr12	68316140	68316836	CCR	796	68315590	68316140	68316836	68317386	chr12-68316140-68316836	chr12-68315590-68316140	chr12-68316836-68317386
chr12	68367136	68367920	CCR	884	68366586	68367136	68367920	68368470	chr12-68367136-68367920	chr12-68366586-68367136	chr12-68367920-68368470
chr12	68371539	68372309	CCR	870	68370989	68371539	68372309	68372859	chr12-68371539-68372309	chr12-68370989-68371539	chr12-68372309-68372859
chr12	68381222	68381990	CCR	868	68380672	68381222	68381990	68382540	chr12-68381222-68381990	chr12-68380672-68381222	chr12-68381990-68382540
chr12	68423825	68425079	CCR	1354	68423275	68423825	68425079	68425629	chr12-68423825-68425079	chr12-68423275-68423825	chr12-68425079-68425629
chr12	68427307	68428891	CCR	1684	68426757	68427307	68428891	68429441	chr12-68427307-68428891	chr12-68426757-68427307	chr12-68428891-68429441
chr12	68452659	68453598	CCR	1039	68452109	68452659	68453598	68454148	chr12-68452659-68453598	chr12-68452109-68452659	chr12-68453598-68454148
chr12	68456949	68457434	CCR	585	68456399	68456949	68457434	68457984	chr12-68456949-68457434	chr12-68456399-68456949	chr12-68457434-68457984
chr12	68490126	68490668	CCR	642	68489576	68490126	68490668	68491218	chr12-68490126-68490668	chr12-68489576-68490126	chr12-68490668-68491218
chr12	68521053	68521543	CCR	590	68520503	68521053	68521543	68522093	chr12-68521053-68521543	chr12-68520503-68521053	chr12-68521543-68522093
chr12	68541966	68542510	CCR	644	68541416	68541966	68542510	68543060	chr12-68541966-68542510	chr12-68541416-68541966	chr12-68542510-68543060
chr12	68571177	68572365	CCR	1288	68570627	68571177	68572365	68572915	chr12-68571177-68572365	chr12-68570627-68571177	chr12-68572365-68572915
chr12	68637592	68638331	CCR	839	68637042	68637592	68638331	68638881	chr12-68637592-68638331	chr12-68637042-68637592	chr12-68638331-68638881
chr12	68677917	68679560	CCR	1743	68677367	68677917	68679560	68680110	chr12-68677917-68679560	chr12-68677367-68677917	chr12-68679560-68680110
chr12	68686462	68686894	CCR	532	68685912	68686462	68686894	68687444	chr12-68686462-68686894	chr12-68685912-68686462	chr12-68686894-68687444
chr12	68153579	68153816	CandidateEnhancer	237	68153029	68153579	68153816	68154366	chr12-68153579-68153816	chr12-68153029-68153579	chr12-68153816-68154366
chr12	68392183	68392448	CandidateEnhancer	265	68391633	68392183	68392448	68392998	chr12-68392183-68392448	chr12-68391633-68392183	chr12-68392448-68392998
chr12	68412220	68412675	CandidateEnhancer	455	68411670	68412220	68412675	68413225	chr12-68412220-68412675	chr12-68411670-68412220	chr12-68412675-68413225
chr12	68437225	68437592	CandidateEnhancer	367	68436675	68437225	68437592	68438142	chr12-68437225-68437592	chr12-68436675-68437225	chr12-68437592-68438142
chr12	68502828	68503151	CandidateEnhancer	323	68502278	68502828	68503151	68503701	chr12-68502828-68503151	chr12-68502278-68502828	chr12-68503151-68503701
chr12	68507392	68507857	CandidateEnhancer	465	68506842	68507392	68507857	68508407	chr12-68507392-68507857	chr12-68506842-68507392	chr12-68507857-68508407
chr12	68563164	68563463	CandidateEnhancer	299	68562614	68563164	68563463	68564013	chr12-68563164-68563463	chr12-68562614-68563164	chr12-68563463-68564013
chr12	68625035	68625407	CandidateEnhancer	372	68624485	68625035	68625407	68625957	chr12-68625035-68625407	chr12-68624485-68625035	chr12-68625407-68625957
chr12	68628018	68628307	CandidateEnhancer	289	68627468	68628018	68628307	68628857	chr12-68628018-68628307	chr12-68627468-68628018	chr12-68628307-68628857
chr12	68655680	68656088	CandidateEnhancer	408	68655130	68655680	68656088	68656638	chr12-68655680-68656088	chr12-68655130-68655680	chr12-68656088-68656638
chr12	68658371	68658710	CandidateEnhancer	339	68657821	68658371	68658710	68659260	chr12-68658371-68658710	chr12-68657821-68658371	chr12-68658710-68659260
chr12	68673008	68673424	CandidateEnhancer	416	68672458	68673008	68673424	68673974	chr12-68673008-68673424	chr12-68672458-68673008	chr12-68673424-68673974
chr12	68151494	68151866	CCR	372	68150944	68151494	68151866	68152416	chr12-68151494-68151866	chr12-68150944-68151494	chr12-68151866-68152416
chr12	68212088	68212325	CCR	237	68211538	68212088	68212325	68212875	chr12-68212088-68212325	chr12-68211538-68212088	chr12-68212325-68212875
chr12	68275298	68275563	CCR	265	68274748	68275298	68275563	68276113	chr12-68275298-68275563	chr12-68274748-68275298	chr12-68275563-68276113
chr12	68279283	68279622	CCR	339	68278733	68279283	68279622	68280172	chr12-68279283-68279622	chr12-68278733-68279283	chr12-68279622-68280172
chr12	68285989	68286444	CCR	455	68285439	68285989	68286444	68286994	chr12-68285989-68286444	chr12-68285439-68285989	chr12-68286444-68286994
