#Chr	Start	End	ID
chr1	10999901	11000667	chr1-10999901-11000667
chr1	11021135	11021492	chr1-11021135-11021492
chr1	11301869	11302350	chr1-11301869-11302350
chr1	11306133	11306774	chr1-11306133-11306774
chr1	11322356	11322995	chr1-11322356-11322995
chr1	11332719	11332980	chr1-11332719-11332980
chr1	11333215	11334073	chr1-11333215-11334073
chr1	11395360	11396033	chr1-11395360-11396033
chr1	11397542	11397995	chr1-11397542-11397995
chr1	11538657	11539615	chr1-11538657-11539615
chr1	11540276	11540378	chr1-11540276-11540378
chr1	11582590	11582961	chr1-11582590-11582961
chr1	11702442	11702794	chr1-11702442-11702794
chr1	11710170	11711095	chr1-11710170-11711095
chr1	11790114	11790823	chr1-11790114-11790823
chr1	11844780	11844840	chr1-11844780-11844840
chr1	11863188	11863914	chr1-11863188-11863914
chr1	11919403	11919718	chr1-11919403-11919718
chr1	11967830	11970197	chr1-11967830-11970197
chr1	11984763	11984977	chr1-11984763-11984977
chr1	11985190	11985305	chr1-11985190-11985305
chr1	11985414	11987069	chr1-11985414-11987069
chr1	11994206	11995242	chr1-11994206-11995242
chr1	12039910	12040880	chr1-12039910-12040880
chr1	12100363	12100848	chr1-12100363-12100848
chr1	12107114	12108127	chr1-12107114-12108127
chr1	12112004	12112444	chr1-12112004-12112444
chr1	12123203	12124054	chr1-12123203-12124054
chr1	12125851	12126218	chr1-12125851-12126218
chr1	12128081	12129213	chr1-12128081-12129213
chr1	12138835	12139376	chr1-12138835-12139376
chr1	12147710	12148995	chr1-12147710-12148995
chr1	12162797	12163087	chr1-12162797-12163087
chr1	12173843	12173979	chr1-12173843-12173979
chr1	12174088	12174145	chr1-12174088-12174145
chr1	12210305	12211289	chr1-12210305-12211289
chr1	12226805	12228341	chr1-12226805-12228341
chr1	12232650	12232825	chr1-12232650-12232825
chr1	12233455	12234251	chr1-12233455-12234251
chr1	12237670	12238631	chr1-12237670-12238631
chr1	12261301	12262279	chr1-12261301-12262279
chr1	12264299	12264488	chr1-12264299-12264488
chr1	12326098	12326655	chr1-12326098-12326655
chr1	12494180	12494653	chr1-12494180-12494653
chr1	12495685	12496202	chr1-12495685-12496202
chr1	12498469	12499076	chr1-12498469-12499076
chr1	12509246	12510162	chr1-12509246-12510162
chr1	12510445	12510701	chr1-12510445-12510701
chr1	12518751	12518829	chr1-12518751-12518829
chr1	12658172	12658228	chr1-12658172-12658228
chr1	14019657	14019897	chr1-14019657-14019897
chr1	14029066	14029800	chr1-14029066-14029800
chr1	14091151	14091863	chr1-14091151-14091863
chr1	14094454	14094627	chr1-14094454-14094627
chr1	15250592	15250952	chr1-15250592-15250952
chr1	15455144	15455327	chr1-15455144-15455327
chr1	15558082	15558530	chr1-15558082-15558530
chr1	15575375	15575940	chr1-15575375-15575940
chr1	15578605	15579670	chr1-15578605-15579670
chr1	15631324	15631453	chr1-15631324-15631453
chr1	15738027	15738967	chr1-15738027-15738967
chr1	15755501	15755736	chr1-15755501-15755736
chr1	15851469	15851912	chr1-15851469-15851912
chr1	15905466	15906306	chr1-15905466-15906306
chr1	15910929	15911805	chr1-15910929-15911805
chr1	15945077	15945225	chr1-15945077-15945225
chr1	15946688	15946982	chr1-15946688-15946982
chr1	16010708	16011798	chr1-16010708-16011798
chr1	16023366	16024332	chr1-16023366-16024332
chr1	16066574	16066643	chr1-16066574-16066643
chr1	16141988	16142437	chr1-16141988-16142437
chr1	16160558	16162841	chr1-16160558-16162841
chr1	16242603	16243725	chr1-16242603-16243725
chr1	16245877	16246251	chr1-16245877-16246251
chr1	16277411	16277683	chr1-16277411-16277683
chr1	16277836	16278047	chr1-16277836-16278047
chr1	16290488	16291046	chr1-16290488-16291046
chr1	16292321	16293209	chr1-16292321-16293209
chr1	16405283	16406172	chr1-16405283-16406172
chr1	16494201	16495379	chr1-16494201-16495379
chr1	16514222	16514686	chr1-16514222-16514686
chr1	16542791	16544338	chr1-16542791-16544338
chr1	16562714	16563980	chr1-16562714-16563980
chr1	16564498	16564758	chr1-16564498-16564758
chr1	16693410	16694801	chr1-16693410-16694801
chr1	16713148	16714180	chr1-16713148-16714180
chr1	16746992	16747943	chr1-16746992-16747943
chr1	16951514	16951658	chr1-16951514-16951658
chr1	16983533	16983662	chr1-16983533-16983662
chr1	17029806	17030037	chr1-17029806-17030037
chr1	17253810	17254453	chr1-17253810-17254453
chr1	17278087	17278583	chr1-17278087-17278583
chr1	17286927	17287741	chr1-17286927-17287741
chr1	17445776	17446103	chr1-17445776-17446103
chr1	17682354	17683372	chr1-17682354-17683372
chr1	17732574	17733059	chr1-17732574-17733059
chr1	17739488	17739625	chr1-17739488-17739625
chr1	17764428	17765459	chr1-17764428-17765459
chr1	17915625	17915703	chr1-17915625-17915703
chr1	18908063	18908134	chr1-18908063-18908134
chr1	18923877	18924101	chr1-18923877-18924101
chr1	18929812	18929891	chr1-18929812-18929891
chr1	18969972	18970472	chr1-18969972-18970472
chr1	19143356	19143616	chr1-19143356-19143616
chr1	19154680	19155036	chr1-19154680-19155036
chr1	19233573	19233825	chr1-19233573-19233825
chr1	19281842	19283975	chr1-19281842-19283975
chr1	19337422	19338094	chr1-19337422-19338094
chr1	19371568	19372248	chr1-19371568-19372248
chr1	19450299	19451087	chr1-19450299-19451087
chr1	19506196	19506810	chr1-19506196-19506810
chr1	19600521	19600631	chr1-19600521-19600631
chr1	19687000	19687126	chr1-19687000-19687126
chr1	19732520	19733025	chr1-19732520-19733025
chr1	19772283	19772632	chr1-19772283-19772632
chr1	19786157	19786421	chr1-19786157-19786421
chr1	19789419	19790299	chr1-19789419-19790299
chr1	19792869	19793009	chr1-19792869-19793009
chr1	19794842	19795463	chr1-19794842-19795463
chr1	19795546	19795699	chr1-19795546-19795699
chr1	19795813	19796115	chr1-19795813-19796115
chr1	19803067	19804796	chr1-19803067-19804796
chr1	19809916	19810431	chr1-19809916-19810431
chr1	19810677	19811215	chr1-19810677-19811215
chr1	19986196	19986734	chr1-19986196-19986734
chr1	19988285	19988481	chr1-19988285-19988481
chr1	20042116	20042540	chr1-20042116-20042540
chr1	20119952	20120465	chr1-20119952-20120465
chr1	20125902	20127210	chr1-20125902-20127210
chr1	20384727	20385656	chr1-20384727-20385656
chr1	20543243	20543422	chr1-20543243-20543422
chr1	20575369	20575870	chr1-20575369-20575870
chr1	20820230	20820929	chr1-20820230-20820929
chr1	20916113	20916176	chr1-20916113-20916176
chr1	20966546	20967072	chr1-20966546-20967072
chr1	20993411	20993486	chr1-20993411-20993486
chr1	21001847	21002057	chr1-21001847-21002057
chr1	21005233	21005387	chr1-21005233-21005387
chr1	21022874	21023748	chr1-21022874-21023748
chr1	21057904	21060187	chr1-21057904-21060187
chr1	21142402	21142810	chr1-21142402-21142810
chr1	21229990	21230252	chr1-21229990-21230252
chr1	21258389	21259651	chr1-21258389-21259651
chr1	21348713	21349496	chr1-21348713-21349496
chr1	21501882	21502818	chr1-21501882-21502818
chr1	21517228	21517951	chr1-21517228-21517951
chr1	21605237	21605753	chr1-21605237-21605753
chr1	21606542	21606844	chr1-21606542-21606844
chr1	21835399	21835774	chr1-21835399-21835774
chr1	21995751	21996542	chr1-21995751-21996542
chr1	22100070	22100539	chr1-22100070-22100539
chr1	22331783	22331910	chr1-22331783-22331910
chr1	22345455	22345973	chr1-22345455-22345973
chr1	22379815	22380436	chr1-22379815-22380436
chr1	22380500	22380568	chr1-22380500-22380568
chr1	22416263	22416788	chr1-22416263-22416788
chr1	22430498	22430636	chr1-22430498-22430636
chr1	22430950	22432374	chr1-22430950-22432374
chr1	22468645	22469240	chr1-22468645-22469240
chr1	22778057	22779327	chr1-22778057-22779327
chr1	23030886	23031213	chr1-23030886-23031213
chr1	23211649	23212152	chr1-23211649-23212152
chr1	23575196	23575253	chr1-23575196-23575253
chr1	23748651	23749770	chr1-23748651-23749770
chr1	23852368	23852447	chr1-23852368-23852447
chr1	23859899	23859976	chr1-23859899-23859976
chr1	23866054	23866908	chr1-23866054-23866908
chr1	23903883	23904260	chr1-23903883-23904260
chr1	23918021	23919221	chr1-23918021-23919221
chr1	23922246	23922446	chr1-23922246-23922446
chr1	23926772	23926961	chr1-23926772-23926961
chr1	23927602	23929130	chr1-23927602-23929130
chr1	23939506	23940509	chr1-23939506-23940509
chr1	23984330	23984414	chr1-23984330-23984414
chr1	24017936	24019207	chr1-24017936-24019207
chr1	24046818	24047377	chr1-24046818-24047377
chr1	24069347	24071000	chr1-24069347-24071000
chr1	24072189	24072269	chr1-24072189-24072269
chr1	24117312	24117794	chr1-24117312-24117794
chr1	24136147	24136760	chr1-24136147-24136760
chr1	24164562	24165420	chr1-24164562-24165420
chr1	24181188	24181307	chr1-24181188-24181307
chr1	24222967	24223459	chr1-24222967-24223459
chr1	24223685	24224884	chr1-24223685-24224884
chr1	24236727	24236873	chr1-24236727-24236873
chr1	24239806	24240149	chr1-24239806-24240149
chr1	24243221	24243697	chr1-24243221-24243697
chr1	24285176	24286776	chr1-24285176-24286776
chr1	24476731	24477941	chr1-24476731-24477941
chr1	24516117	24516360	chr1-24516117-24516360
chr1	24516432	24517006	chr1-24516432-24517006
chr1	24518440	24518876	chr1-24518440-24518876
chr1	24554751	24555065	chr1-24554751-24555065
chr1	24603948	24604446	chr1-24603948-24604446
chr1	24677800	24677915	chr1-24677800-24677915
chr1	24677916	24678025	chr1-24677916-24678025
chr1	24717879	24719393	chr1-24717879-24719393
chr1	24719630	24720007	chr1-24719630-24720007
chr1	24743237	24743728	chr1-24743237-24743728
chr1	24807637	24808864	chr1-24807637-24808864
chr1	24825124	24825527	chr1-24825124-24825527
chr1	24861445	24862095	chr1-24861445-24862095
chr1	24862807	24863543	chr1-24862807-24863543
chr1	24968690	24970137	chr1-24968690-24970137
chr1	25157308	25157452	chr1-25157308-25157452
chr1	25239130	25239768	chr1-25239130-25239768
chr1	25241889	25243109	chr1-25241889-25243109
chr1	25293151	25293408	chr1-25293151-25293408
chr1	25308128	25308485	chr1-25308128-25308485
chr1	25311155	25312149	chr1-25311155-25312149
chr1	25325028	25325235	chr1-25325028-25325235
chr1	25336231	25336635	chr1-25336231-25336635
chr1	25338846	25339162	chr1-25338846-25339162
chr1	25348877	25349793	chr1-25348877-25349793
chr1	25358213	25359254	chr1-25358213-25359254
chr1	25368481	25369266	chr1-25368481-25369266
chr1	25391031	25393100	chr1-25391031-25393100
chr1	25425477	25427215	chr1-25425477-25427215
chr1	25475303	25475631	chr1-25475303-25475631
chr1	25663339	25666076	chr1-25663339-25666076
chr1	25740087	25740182	chr1-25740087-25740182
chr1	25740510	25740582	chr1-25740510-25740582
chr1	25769768	25770183	chr1-25769768-25770183
chr1	25800118	25800594	chr1-25800118-25800594
chr1	25934819	25935349	chr1-25934819-25935349
chr1	25968765	25969679	chr1-25968765-25969679
chr1	26002243	26003297	chr1-26002243-26003297
chr1	26016392	26016836	chr1-26016392-26016836
chr1	26024125	26024694	chr1-26024125-26024694
chr1	26030756	26031321	chr1-26030756-26031321
chr1	26038175	26038635	chr1-26038175-26038635
chr1	26081175	26081808	chr1-26081175-26081808
chr1	26092309	26093106	chr1-26092309-26093106
chr1	26129430	26129723	chr1-26129430-26129723
chr1	26137128	26137766	chr1-26137128-26137766
chr1	26221619	26222346	chr1-26221619-26222346
chr1	26231551	26233719	chr1-26231551-26233719
chr1	26244607	26244913	chr1-26244607-26244913
chr1	26316524	26316613	chr1-26316524-26316613
chr1	26316623	26317844	chr1-26316623-26317844
chr1	26324102	26325125	chr1-26324102-26325125
chr1	26343177	26344083	chr1-26343177-26344083
chr1	26354309	26354438	chr1-26354309-26354438
chr1	26361499	26362841	chr1-26361499-26362841
chr1	26372871	26373051	chr1-26372871-26373051
chr1	26486030	26486097	chr1-26486030-26486097
chr1	26613725	26614300	chr1-26613725-26614300
chr1	26615179	26615354	chr1-26615179-26615354
chr1	26615691	26616946	chr1-26615691-26616946
chr1	26641829	26642129	chr1-26641829-26642129
chr1	26644157	26644896	chr1-26644157-26644896
chr1	26645326	26645431	chr1-26645326-26645431
chr1	26645824	26646157	chr1-26645824-26646157
chr1	26647520	26648294	chr1-26647520-26648294
chr1	26665437	26665523	chr1-26665437-26665523
chr1	26704669	26705398	chr1-26704669-26705398
chr1	26710572	26711112	chr1-26710572-26711112
chr1	26716004	26716336	chr1-26716004-26716336
chr1	26734979	26735488	chr1-26734979-26735488
chr1	26743618	26743949	chr1-26743618-26743949
chr1	26806374	26806720	chr1-26806374-26806720
chr1	26861831	26862090	chr1-26861831-26862090
chr1	26880427	26880981	chr1-26880427-26880981
chr1	26924189	26924292	chr1-26924189-26924292
chr1	27002468	27002524	chr1-27002468-27002524
chr1	27018788	27019832	chr1-27018788-27019832
chr1	27024428	27025014	chr1-27024428-27025014
chr1	27032886	27033023	chr1-27032886-27033023
chr1	27126091	27127339	chr1-27126091-27127339
chr1	27137443	27137983	chr1-27137443-27137983
chr1	27159776	27160568	chr1-27159776-27160568
chr1	27216127	27217258	chr1-27216127-27217258
chr1	27247786	27248809	chr1-27247786-27248809
chr1	27324107	27324579	chr1-27324107-27324579
chr1	27411044	27411274	chr1-27411044-27411274
chr1	27438328	27439060	chr1-27438328-27439060
chr1	27440415	27440706	chr1-27440415-27440706
chr1	27462579	27462669	chr1-27462579-27462669
chr1	27462817	27463095	chr1-27462817-27463095
chr1	27463396	27464282	chr1-27463396-27464282
chr1	27481243	27482268	chr1-27481243-27482268
chr1	27627170	27627758	chr1-27627170-27627758
chr1	27667924	27670401	chr1-27667924-27670401
chr1	27675633	27676513	chr1-27675633-27676513
chr1	27682878	27684380	chr1-27682878-27684380
chr1	27686598	27686878	chr1-27686598-27686878
chr1	27743046	27743318	chr1-27743046-27743318
chr1	27748292	27749202	chr1-27748292-27749202
chr1	27757382	27757958	chr1-27757382-27757958
chr1	27762541	27763474	chr1-27762541-27763474
chr1	27772189	27772329	chr1-27772189-27772329
chr1	27807777	27807847	chr1-27807777-27807847
chr1	27815702	27817285	chr1-27815702-27817285
chr1	27847639	27849834	chr1-27847639-27849834
chr1	27852052	27852700	chr1-27852052-27852700
chr1	27854370	27855013	chr1-27854370-27855013
chr1	27883120	27883520	chr1-27883120-27883520
chr1	27895623	27896010	chr1-27895623-27896010
chr1	27905599	27905970	chr1-27905599-27905970
chr1	27921623	27922565	chr1-27921623-27922565
chr1	27928439	27928594	chr1-27928439-27928594
chr1	27929030	27929134	chr1-27929030-27929134
chr1	27929735	27930079	chr1-27929735-27930079
chr1	27935515	27936658	chr1-27935515-27936658
chr1	27936756	27936874	chr1-27936756-27936874
chr1	27944704	27945559	chr1-27944704-27945559
chr1	27951521	27953870	chr1-27951521-27953870
chr1	27958926	27960022	chr1-27958926-27960022
chr1	27970321	27970965	chr1-27970321-27970965
chr1	27985660	27987047	chr1-27985660-27987047
chr1	27989132	27989938	chr1-27989132-27989938
chr1	27998357	27999233	chr1-27998357-27999233
chr1	28046205	28046342	chr1-28046205-28046342
chr1	28156798	28157927	chr1-28156798-28157927
chr1	28317394	28317892	chr1-28317394-28317892
chr1	28318675	28319213	chr1-28318675-28319213
chr1	28319764	28320057	chr1-28319764-28320057
chr1	28355824	28356031	chr1-28355824-28356031
chr1	28382642	28383311	chr1-28382642-28383311
chr1	28385722	28386002	chr1-28385722-28386002
chr1	28390785	28390862	chr1-28390785-28390862
chr1	28495715	28496465	chr1-28495715-28496465
chr1	28498940	28499773	chr1-28498940-28499773
chr1	28520740	28521101	chr1-28520740-28521101
chr1	28525807	28526801	chr1-28525807-28526801
chr1	28562354	28563221	chr1-28562354-28563221
chr1	28572908	28574308	chr1-28572908-28574308
chr1	28575105	28575629	chr1-28575105-28575629
chr1	28613929	28614022	chr1-28613929-28614022
chr1	28736387	28736685	chr1-28736387-28736685
chr1	28743983	28744527	chr1-28743983-28744527
chr1	28776399	28776754	chr1-28776399-28776754
chr1	28832025	28833723	chr1-28832025-28833723
chr1	28837305	28837717	chr1-28837305-28837717
chr1	28902514	28902648	chr1-28902514-28902648
chr1	28907081	28907230	chr1-28907081-28907230
chr1	28907335	28909579	chr1-28907335-28909579
chr1	28918699	28918940	chr1-28918699-28918940
chr1	28968981	28970554	chr1-28968981-28970554
chr1	28974356	28975877	chr1-28974356-28975877
chr1	29189658	29189715	chr1-29189658-29189715
chr1	29211406	29211855	chr1-29211406-29211855
chr1	29220372	29220442	chr1-29220372-29220442
chr1	29253150	29254070	chr1-29253150-29254070
chr1	29254399	29254559	chr1-29254399-29254559
chr1	29254575	29255327	chr1-29254575-29255327
chr1	29343885	29344364	chr1-29343885-29344364
